?city ?year ?population .
<http://dbpedia.org/resource/Mariehamn> "2012" "11304.5"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mariehamn> "2011" "11226.5"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mariehamn> "2010" "11156.5"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mariehamn> "2009" "11064"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mariehamn> "2008" "10954"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mariehamn> "2007" "10863"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mariehamn> "2000" "10488"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Durr%C3%ABS> "2011" "113249"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Tirana> "2011" "418495"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Tirana> "2003" "392863"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Annaba> "1998" "352523"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Batna> "1998" "246800"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/B%C3%A9Char> "1998" "134523"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Beja%C3%AFA> "1998" "144405"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Beskra> "1998" "177060"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Bordj%20Bou%20Arreridj> "1998" "129004"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Bordj%20El%20Kiffan> "1998" "103690"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ech%20Cheliff> "1998" "174314"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/El%20Boula%C3%AFda%20%28Blida%29> "1998" "229788"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Algiers> "1998" "1569897"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/El%20Djelfa> "1998" "158679"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/El%20Eulma> "1998" "104758"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/El%20Wad> "1998" "105151"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Gharda%C3%AFA> "1998" "127959"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ghilizane> "1998" "104644"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Guelma> "1998" "108682"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Jijel> "1998" "106306"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Lemdiyya> "1998" "128427"^^<http://www.w3.org/2001/XMLSchema#double> .
