# city	citylabel	year	population
http://harth.org/andreas/2017/citydata/unsd/cities#014900C	MARIEHAMN	2011	11226.5
http://harth.org/andreas/2017/citydata/unsd/cities#014900C	MARIEHAMN	2012	11304.5
http://harth.org/andreas/2017/citydata/unsd/cities#014900C	MARIEHAMN	2014	11437
http://harth.org/andreas/2017/citydata/unsd/cities#014900C	MARIEHAMN	2015	11471
http://harth.org/andreas/2017/citydata/unsd/cities#014900C	MARIEHAMN	2010	11156.5
http://harth.org/andreas/2017/citydata/unsd/cities#014900C	MARIEHAMN	2013	11370
http://harth.org/andreas/2017/citydata/unsd/cities#014900C	MARIEHAMN	2009	11064
http://harth.org/andreas/2017/citydata/unsd/cities#014900C	MARIEHAMN	2008	10954
http://harth.org/andreas/2017/citydata/unsd/cities#014900C	MARIEHAMN	2007	10863
http://harth.org/andreas/2017/citydata/unsd/cities#014900C	MARIEHAMN	2000	10488
http://harth.org/andreas/2017/citydata/unsd/cities#000048C	Durrës	2011	113249
http://harth.org/andreas/2017/citydata/unsd/cities#000050C	TIRANA	2011	418495
http://harth.org/andreas/2017/citydata/unsd/cities#000050C	TIRANA	2003	392863
http://harth.org/andreas/2017/citydata/unsd/cities#000058C	Ain Defla	2008	450280
http://harth.org/andreas/2017/citydata/unsd/cities#000110C	Batna	2008	768444
http://harth.org/andreas/2017/citydata/unsd/cities#000080C	Annaba	2008	442230
http://harth.org/andreas/2017/citydata/unsd/cities#000075C	Ain Temouchent	2008	299341
http://harth.org/andreas/2017/citydata/unsd/cities#000140C	Beskra (Biskra)	2008	563245
http://harth.org/andreas/2017/citydata/unsd/cities#000055C	Adrar	2008	200834
http://harth.org/andreas/2017/citydata/unsd/cities#000130C	Bejaïa	2008	559981
http://harth.org/andreas/2017/citydata/unsd/cities#000120C	Béchar	2008	236213
http://harth.org/andreas/2017/citydata/unsd/cities#000150C	Bordj Bou Arreridj	2008	422986
http://harth.org/andreas/2017/citydata/unsd/cities#000172C	Bouira	2008	372196
http://harth.org/andreas/2017/citydata/unsd/cities#000173C	Boumerdes	2008	459250
http://harth.org/andreas/2017/citydata/unsd/cities#000190C	El Boulaïda (Blida)	2008	719515
http://harth.org/andreas/2017/citydata/unsd/cities#000185C	El Bayadh	2008	192958
http://harth.org/andreas/2017/citydata/unsd/cities#000175C	Chlef	2008	521070
http://harth.org/andreas/2017/citydata/unsd/cities#000200C	ALGIERS (EL DJAZAIR)	2008	2712944
http://harth.org/andreas/2017/citydata/unsd/cities#000210C	El Djelfa	2008	825411
http://harth.org/andreas/2017/citydata/unsd/cities#000223C	El Oued	2008	495573
http://harth.org/andreas/2017/citydata/unsd/cities#000225C	El Tarf	2008	230157
http://harth.org/andreas/2017/citydata/unsd/cities#000240C	Ghardaïa	2008	355701
http://harth.org/andreas/2017/citydata/unsd/cities#000250C	Ghilizane (Relizane)	2008	432386
