item,itemLabel,pop,area
http://www.wikidata.org/entity/Q1156,Mumbai,12442373,603
http://www.wikidata.org/entity/Q1218,Jerusalem,865720,125.42
http://www.wikidata.org/entity/Q1289,Grenoble,160779,18.13
http://www.wikidata.org/entity/Q1295,Dortmund,586181,280.71
http://www.wikidata.org/entity/Q1297,Chicago,2722389,606057217
http://www.wikidata.org/entity/Q1308,Como,84378,37340000
http://www.wikidata.org/entity/Q1341,Tolyatti,710567,230
http://www.wikidata.org/entity/Q1341,Tolyatti,710567,314.78
http://www.wikidata.org/entity/Q1348,Kolkata,14112536,205
http://www.wikidata.org/entity/Q1353,Delhi,16314838,1484
http://www.wikidata.org/entity/Q1354,Dhaka,6970105,815800000
http://www.wikidata.org/entity/Q1382,Piran,17491,44.6
http://www.wikidata.org/entity/Q1449,Genoa,588688,243600000
http://www.wikidata.org/entity/Q1479,Bordeaux,243626,49.36
http://www.wikidata.org/entity/Q1486,Buenos Aires,2890151,203.3
http://www.wikidata.org/entity/Q1490,Tokyo,13686371,2187.66
http://www.wikidata.org/entity/Q1492,Barcelona,1608746,101.3
http://www.wikidata.org/entity/Q1519,Abu Dhabi,621000,972000000
http://www.wikidata.org/entity/Q1520,Astana,814401,710200000
http://www.wikidata.org/entity/Q1538,Pune,3115431,710000000
http://www.wikidata.org/entity/Q1555,Guatemala City,1010253,692
http://www.wikidata.org/entity/Q1555,Guatemala City,2110100,692
http://www.wikidata.org/entity/Q1630,Altona,261213,78.3
http://www.wikidata.org/entity/Q1692,Cabadbaran,73639,214.44
http://www.wikidata.org/entity/Q1694,Bayugan,103202,688.77
http://www.wikidata.org/entity/Q1707,Kiel,246269,118600000
http://www.wikidata.org/entity/Q1715,Hanover,532163,204010000
http://www.wikidata.org/entity/Q1718,Düsseldorf,612178,217.41
http://www.wikidata.org/entity/Q1719,Balanga,96061,111.63
http://www.wikidata.org/entity/Q1724,Saarbrücken,178141,167070000
http://www.wikidata.org/entity/Q1726,Munich,1450381,310.74
http://www.wikidata.org/entity/Q1729,Erfurt,210118,269.15
http://www.wikidata.org/entity/Q1737,Bregenz,28697,29.51
http://www.wikidata.org/entity/Q1741,Vienna,1840573,414.87
http://www.wikidata.org/entity/Q1748,Copenhagen,591481,86200000
http://www.wikidata.org/entity/Q1754,Stockholm,917297,188000000
http://www.wikidata.org/entity/Q1757,Helsinki,620982,213.75
http://www.wikidata.org/entity/Q1763,Murmansk,301572,154.4
http://www.wikidata.org/entity/Q1781,Budapest,1757618,525.2
http://www.wikidata.org/entity/Q1799,Wrocław,634404,293
http://www.wikidata.org/entity/Q1829,Kaliningrad,459560,225
