x,id,label,wikicity,isocode,clabel,wikicountry
http://eurostat.linked-statistics.org/dic/cities#BE001C,BE001C,Brussels,Q239,BE,Belgium,Q31
http://eurostat.linked-statistics.org/dic/cities#BE002C,BE002C,Antwerp,Q12892,BE,Belgium,Q31
http://eurostat.linked-statistics.org/dic/cities#BE003C,BE003C,Ghent,Q1296,BE,Belgium,Q31
http://eurostat.linked-statistics.org/dic/cities#BE004C,BE004C,Charleroi,Q81046,BE,Belgium,Q31
http://eurostat.linked-statistics.org/dic/cities#BE005C,BE005C,Liège,Q3992,BE,Belgium,Q31
http://eurostat.linked-statistics.org/dic/cities#BE006C,BE006C,Bruges,Q12994,BE,Belgium,Q31
http://eurostat.linked-statistics.org/dic/cities#BE007C,BE007C,Namur,Q134121,BE,Belgium,Q31
http://eurostat.linked-statistics.org/dic/cities#BG001C,BG001C,Sofia,Q472,BG,Bulgaria,Q219
http://eurostat.linked-statistics.org/dic/cities#BG002C,BG002C,Plovdiv,Q459,BG,Bulgaria,Q219
http://eurostat.linked-statistics.org/dic/cities#BG003C,BG003C,Varna,Q6506,BG,Bulgaria,Q219
http://eurostat.linked-statistics.org/dic/cities#BG004C,BG004C,Burgas,Q6509,BG,Bulgaria,Q219
http://eurostat.linked-statistics.org/dic/cities#BG005C,BG005C,Pleven,Q165420,BG,Bulgaria,Q219
http://eurostat.linked-statistics.org/dic/cities#BG006C,BG006C,Ruse,Q160173,BG,Bulgaria,Q219
http://eurostat.linked-statistics.org/dic/cities#BG007C,BG007C,Vidin,Q178531,BG,Bulgaria,Q219
http://eurostat.linked-statistics.org/dic/cities#BG008C,BG008C,Stara Zagora,Q170415,BG,Bulgaria,Q219
http://eurostat.linked-statistics.org/dic/cities#CZ001C,CZ001C,Prague,Q1085,CZ,Youth in the Czech Republic,Q15297478
http://eurostat.linked-statistics.org/dic/cities#CZ002C,CZ002C,Brno,Q14960,CZ,Youth in the Czech Republic,Q15297478
http://eurostat.linked-statistics.org/dic/cities#CZ003C,CZ003C,Ostrava,Q8385,CZ,Youth in the Czech Republic,Q15297478
http://eurostat.linked-statistics.org/dic/cities#CZ004C,CZ004C,Plzeň,Q43453,CZ,Youth in the Czech Republic,Q15297478
http://eurostat.linked-statistics.org/dic/cities#CZ005C,CZ005C,Ústí nad Labem,Q156974,CZ,Youth in the Czech Republic,Q15297478
http://eurostat.linked-statistics.org/dic/cities#CZ006C,CZ006C,Olomouc,Q81137,CZ,Youth in the Czech Republic,Q15297478
http://eurostat.linked-statistics.org/dic/cities#CZ007C,CZ007C,Liberec,Q146351,CZ,Youth in the Czech Republic,Q15297478
http://eurostat.linked-statistics.org/dic/cities#CZ008C,CZ008C,České Budějovice,Q16506,CZ,Youth in the Czech Republic,Q15297478
http://eurostat.linked-statistics.org/dic/cities#CZ009C,CZ009C,Hradec Králové,Q180139,CZ,Youth in the Czech Republic,Q15297478
http://eurostat.linked-statistics.org/dic/cities#CZ010C,CZ010C,Pardubice,Q36989,CZ,Youth in the Czech Republic,Q15297478
http://eurostat.linked-statistics.org/dic/cities#CZ011C,CZ011C,Zlín,Q171018,CZ,Youth in the Czech Republic,Q15297478
http://eurostat.linked-statistics.org/dic/cities#CZ012C,CZ012C,Kladno,Q155993,CZ,Youth in the Czech Republic,Q15297478
http://eurostat.linked-statistics.org/dic/cities#CZ013C,CZ013C,Karlovy Vary,Q384544,CZ,Youth in the Czech Republic,Q15297478
http://eurostat.linked-statistics.org/dic/cities#CZ014C,CZ014C,Jihlava,Q183111,CZ,Youth in the Czech Republic,Q15297478
http://eurostat.linked-statistics.org/dic/cities#DK001C,DK001C,Copenhagen,Q1748,DK,Denmark,Q35
http://eurostat.linked-statistics.org/dic/cities#DK002C,DK002C,Aarhus,Q25319,DK,Denmark,Q35
http://eurostat.linked-statistics.org/dic/cities#DK003C,DK003C,Odense,Q25331,DK,Denmark,Q35
http://eurostat.linked-statistics.org/dic/cities#DK004C,DK004C,Aalborg,Q25410,DK,Denmark,Q35
http://eurostat.linked-statistics.org/dic/cities#DE001C,DE001C,Berlin,Q64,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE002C,DE002C,Hamburg,Q1055,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE003C,DE003C,Munich,Q1726,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE004C,DE004C,Cologne,Q365,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE005C,DE005C,Frankfurt,Q1794,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE006C,DE006C,Essen,Q2066,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE007C,DE007C,Stuttgart,Q1022,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE008C,DE008C,Leipzig,Q2079,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE009C,DE009C,Dresden,Q1731,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE010C,DE010C,Dortmund,Q1295,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE011C,DE011C,Düsseldorf,Q1718,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE012C,DE012C,Free Hanseatic City of Bremen,Q1209,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE013C,DE013C,Hanover,Q1715,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE014C,DE014C,Nuremberg,Q2090,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE015C,DE015C,Bochum,Q2103,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE016C,DE016C,Wuppertal,Q2107,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE017C,DE017C,Bielefeld,Q2112,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE018C,DE018C,Halle,Q2814,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE019C,DE019C,Magdeburg,Q1733,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE020C,DE020C,Wiesbaden,Q1721,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE021C,DE021C,Göttingen,Q3033,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE022C,DE022C,Mülheim an der Ruhr,Q2899,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE023C,DE023C,Moers,Q3132,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE025C,DE025C,Darmstadt,Q2973,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE026C,DE026C,Trier,Q3138,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE027C,DE027C,Freiburg im Breisgau,Q2833,DE,Germany,Q183
